2020-03_coalition(n=65),2020-03_opposition(n=57),2020-04_coalition(n=33),2020-04_opposition(n=19),2020-05_coalition(n=22),2020-05_opposition(n=8),2020-06_coalition(n=29),2020-06_opposition(n=9)
pvvfractie,expert,rijksoverheid,hoorzitting,briefing,operatie,handvol,besluit
krent,preventiemaatregel,hoogleraar,correspondentie,maatregel,bron,rechtsgang,briefing
onwetende,gebeurtenis,nut,effect,doel,contactonderzoek,tijd,serviceteam
expert,informatie,app,ictproject,inschatting,doortastend,gebied,grooming
rivm,brononderzoek,ring,medebeslissing,inlichtingenwerk,thuisisolatie,expert,kinderpanel
expertise,weging,euorgaan,rivmadvie,stal,begeleiding,vennootschapsrecht,moratorium
kabinet,politicus,vijftal,gedragswetenschapper,aanname,uitwerking,achterhand,ontwikkelingsland
viroloog,advies,speeksel,expert,expert,mate,kenniscentrum,protocol
maatregel,verstand,gerichtheid,doel,recherchekwaliteit,slag,procesrecht,socialemediaplatform
mitigatiefase,politiek,informatiebrokje,advies,cdemethodologie,invulling,belrondje,discipline
wetenschapper,beslissing,tafeltje,ingenieur,chloor,getal,kiesraad,luchtvaartmaatschappij
virus,wereldgezondheidsorganisatie,menukaart,jurist,kat,zorgen,vrijmoedigheid,ouderpanel
advies,stap,infectieziektenbestrijding,crisisteam,hond,cijfer,krantenbladzijde,kabinet
ziektegeval,wereld,tender,appathon,specialist,capaciteit,reclassering,expert
bedrijfsarts,uiterste,schijnzekerheid,instrument,boom,protocol,warmteoplossing,dader
